iter	Logloss
0	0.6788041678
1	0.6663489114
2	0.6504963609
3	0.6360730334
4	0.6263611159
5	0.6130186535
6	0.6024900602
7	0.5910364787
8	0.5809246006
9	0.5713734982
10	0.5637298955
11	0.5559031773
12	0.5490824211
13	0.5421993466
14	0.5359301276
15	0.5301548427
16	0.521782887
17	0.5176290257
18	0.5105268537
19	0.5056107584
20	0.500777545
21	0.497144108
22	0.4924670679
23	0.4885896208
24	0.4826186403
25	0.4783678935
26	0.4737659526
27	0.4688675684
28	0.4643387968
29	0.459156294
30	0.4553602078
31	0.4531029477
32	0.4495661462
33	0.4463120837
34	0.4437708175
35	0.4398364089
36	0.4369035332
37	0.434003327
38	0.4308200119
39	0.427548531
40	0.4247684587
41	0.4222679029
42	0.4195321389
43	0.4169826175
44	0.4147822396
45	0.4121795754
46	0.4092508144
47	0.4069656728
48	0.4051838888
49	0.4035995426
50	0.3997327452
51	0.3968853883
52	0.3950899957
53	0.3929373237
54	0.3909952504
55	0.3887879438
56	0.387142708
57	0.385749351
58	0.384982582
59	0.3834126813
60	0.3799959193
61	0.3790003092
62	0.3777710266
63	0.37481903
64	0.3733648179
65	0.3716393621
66	0.3700677924
67	0.3682125608
68	0.3670466481
69	0.3659047362
70	0.3656750605
71	0.3647010372
72	0.3640746096
73	0.3630939451
74	0.3618627799
75	0.3609307105
76	0.3608424361
77	0.3598782823
78	0.3583009038
79	0.3574304053
80	0.3566750283
81	0.3553484142
82	0.3543512855
83	0.3537404038
84	0.3521197881
85	0.3517668016
86	0.350819379
87	0.3502524827
88	0.3493874627
89	0.3483440674
90	0.3482660104
91	0.3466511127
92	0.3457146846
93	0.3449181925
94	0.3434749987
95	0.3424792196
96	0.3424259707
97	0.3416814158
98	0.3409421951
99	0.3399822424
100	0.3389363208
101	0.3371761486
102	0.3363976276
103	0.3354567354
104	0.3344457428
105	0.3333918073
106	0.3324093734
107	0.3317579325
108	0.331182039
109	0.3305756421
110	0.3305411257
111	0.3300790901
112	0.3290744952
113	0.3276281811
114	0.3269494053
115	0.3261630859
116	0.3253594303
117	0.3246310534
118	0.3239222321
119	0.3230783705
120	0.3222343339
121	0.3216616388
122	0.3211798732
123	0.3204852616
124	0.3200768218
125	0.3197058735
126	0.3187148512
127	0.3179430212
128	0.316754677
129	0.3161073536
130	0.3144294934
131	0.3128965168
132	0.3124303978
133	0.3118880399
134	0.3113387506
135	0.3107776448
136	0.3098517552
137	0.3093494994
138	0.3089294656
139	0.3085520261
140	0.308534053
141	0.3081979119
142	0.3078197171
143	0.3073235258
144	0.3073153257
145	0.3065739435
146	0.3057685516
147	0.3055671723
148	0.3045226004
149	0.3042180082
150	0.3038885791
151	0.3031514158
152	0.3021647573
153	0.3012918826
154	0.3008179349
155	0.2998067749
156	0.2997677104
157	0.2992954358
158	0.2986598911
159	0.2972715085
160	0.2969344702
161	0.2958953585
162	0.2954481182
163	0.2948724603
164	0.2940105751
165	0.2933868134
166	0.2930395229
167	0.2927033223
168	0.2919525448
169	0.2915168166
170	0.2904902244
171	0.2893642782
172	0.2890228851
173	0.288646439
174	0.2881104029
175	0.2871967615
176	0.2865338772
177	0.2860685836
178	0.2856490981
179	0.2849129971
180	0.2839819174
181	0.2835840438
182	0.2830398379
183	0.2827457227
184	0.2819406408
185	0.281630839
186	0.2813287092
187	0.2810984198
188	0.2807737706
189	0.2804197646
190	0.2800626223
191	0.2797631462
192	0.2782385383
193	0.2774086702
194	0.2770883194
195	0.2757103591
196	0.2755557333
197	0.2751673656
198	0.2748125594
199	0.2745366501
200	0.2743620653
201	0.2741630921
202	0.2735920345
203	0.2732694458
204	0.272767526
205	0.2725049984
206	0.2718281406
207	0.2715063144
208	0.2713859772
209	0.2711071036
210	0.270982823
211	0.2703165958
