iter	Passed	Remaining
0	11	11387
1	22	11361
2	34	11422
3	45	11329
4	57	11525
5	68	11388
6	79	11309
7	90	11262
8	101	11220
9	113	11195
10	123	11133
11	135	11136
12	146	11105
13	157	11080
14	170	11168
15	181	11147
16	202	11736
17	214	11697
18	225	11642
19	236	11576
20	247	11519
21	259	11526
22	270	11488
23	281	11449
24	292	11417
25	304	11394
26	316	11390
27	327	11375
28	339	11354
29	349	11311
30	360	11279
31	372	11261
32	384	11259
33	397	11286
34	409	11277
35	421	11275
36	432	11252
37	443	11229
38	454	11208
39	465	11180
40	476	11151
41	487	11116
42	498	11094
43	509	11068
44	520	11056
45	532	11037
46	543	11011
47	554	10997
48	565	10971
49	576	10957
50	588	10947
51	599	10921
52	610	10916
53	622	10897
54	632	10872
55	644	10865
56	657	10872
57	668	10853
58	671	10715
59	682	10695
60	693	10682
61	705	10676
62	716	10663
63	729	10668
64	740	10652
65	751	10638
66	762	10619
67	773	10605
68	784	10587
69	795	10573
70	798	10449
71	809	10433
72	820	10420
73	831	10404
74	842	10394
75	854	10386
76	856	10263
77	866	10247
78	879	10247
79	890	10246
80	902	10241
81	914	10239
82	926	10236
83	938	10233
84	949	10218
85	953	10129
86	963	10116
87	975	10106
88	986	10093
89	996	10077
90	998	9971
91	1010	9971
92	1021	9965
93	1032	9951
94	1043	9943
95	1054	9932
96	1056	9834
97	1067	9826
98	1078	9816
99	1090	9812
100	1101	9803
101	1113	9799
102	1124	9792
103	1135	9779
104	1146	9769
105	1157	9759
106	1168	9752
107	1180	9747
108	1191	9740
109	1202	9729
110	1203	9642
111	1214	9633
112	1225	9623
113	1237	9616
114	1249	9613
115	1260	9606
116	1271	9592
117	1282	9583
118	1292	9571
119	1304	9565
120	1316	9562
121	1327	9553
122	1339	9549
123	1350	9540
124	1361	9527
125	1373	9526
126	1384	9517
127	1395	9504
128	1406	9497
129	1417	9488
130	1428	9478
131	1440	9470
132	1451	9460
133	1477	9549
134	1489	9546
135	1500	9534
136	1511	9522
137	1523	9519
138	1535	9509
139	1546	9499
140	1547	9428
141	1560	9426
142	1570	9414
143	1582	9405
144	1583	9337
145	1595	9332
146	1606	9323
147	1610	9269
148	1621	9260
149	1632	9252
150	1643	9241
151	1654	9233
152	1666	9223
153	1676	9210
154	1688	9206
155	1699	9194
156	1701	9136
157	1713	9133
158	1725	9124
159	1736	9114
160	1747	9104
161	1758	9096
162	1769	9088
163	1781	9079
164	1792	9072
165	1804	9064
166	1815	9054
167	1826	9043
168	1837	9032
169	1848	9026
170	1859	9016
171	1870	9005
172	1882	8998
173	1893	8989
174	1904	8979
175	1916	8973
176	1928	8964
177	1938	8953
178	1949	8941
179	1962	8939
180	1973	8929
181	1984	8919
182	1995	8908
183	2006	8897
184	2017	8887
185	2028	8876
186	2040	8869
187	2051	8858
188	2061	8846
189	2072	8835
190	2083	8826
191	2095	8816
192	2106	8808
193	2118	8801
194	2129	8790
195	2140	8780
196	2152	8772
197	2164	8765
198	2175	8758
199	2186	8747
200	2198	8738
201	2209	8727
202	2219	8715
203	2231	8706
204	2243	8698
205	2253	8687
206	2265	8677
207	2276	8668
208	2287	8657
209	2298	8647
210	2310	8641
211	2322	8631
212	2333	8621
213	2344	8611
214	2355	8601
215	2366	8590
216	2377	8579
217	2388	8569
218	2399	8558
219	2411	8548
220	2421	8536
221	2433	8528
222	2444	8518
223	2455	8507
224	2466	8496
225	2478	8489
226	2489	8478
227	2500	8467
228	2513	8461
229	2524	8450
230	2535	8440
231	2546	8431
232	2549	8391
233	2560	8381
234	2571	8370
235	2572	8329
236	2584	8319
237	2595	8311
238	2606	8300
239	2618	8290
240	2630	8283
241	2640	8272
242	2651	8261
243	2662	8249
244	2673	8238
245	2685	8229
246	2697	8222
247	2708	8213
248	2719	8202
249	2730	8191
250	2741	8180
251	2752	8170
252	2764	8161
253	2775	8151
254	2786	8140
255	2797	8130
256	2808	8120
257	2819	8109
258	2830	8099
259	2841	8088
260	2852	8077
261	2863	8066
262	2874	8055
263	2885	8044
264	2896	8034
265	2907	8023
266	2918	8013
267	2929	8002
268	2940	7991
269	2952	7981
270	2955	7951
271	2966	7941
272	2977	7929
273	2988	7918
274	2999	7907
275	3010	7896
276	3021	7886
277	3033	7879
278	3044	7868
279	3056	7859
280	3067	7849
281	3079	7840
282	3090	7829
283	3101	7818
284	3112	7808
285	3113	7773
286	3124	7763
287	3135	7752
288	3146	7741
289	3160	7736
290	3170	7725
291	3182	7715
292	3193	7705
293	3204	7694
294	3215	7683
295	3216	7650
296	3227	7640
297	3238	7629
298	3250	7619
299	3261	7609
300	3273	7601
301	3284	7591
302	3296	7582
303	3307	7571
304	3308	7538
305	3319	7528
306	3330	7518
307	3341	7508
308	3352	7497
309	3354	7466
310	3366	7457
311	3377	7446
312	3389	7438
313	3399	7427
314	3401	7397
315	3413	7388
316	3424	7378
317	3435	7368
318	3453	7372
319	3456	7344
320	3467	7334
321	3478	7324
322	3489	7314
323	3501	7306
324	3513	7296
325	3524	7287
326	3546	7298
327	3557	7287
328	3567	7276
329	3579	7266
330	3590	7256
331	3609	7261
332	3621	7254
333	3632	7243
334	3643	7232
335	3657	7228
336	3670	7220
337	3681	7210
338	3692	7200
339	3704	7191
340	3715	7180
341	3726	7169
342	3737	7159
343	3748	7148
344	3760	7139
345	3772	7130
346	3775	7105
347	3787	7095
348	3798	7086
349	3809	7074
350	3820	7064
351	3831	7053
352	3842	7043
353	3853	7032
354	3864	7022
355	3875	7011
356	3886	6999
357	3888	6973
358	3900	6963
359	3911	6953
360	3922	6942
361	3933	6932
362	3945	6923
363	3956	6912
364	3967	6902
365	3978	6891
366	3980	6865
367	3992	6855
368	4002	6845
369	4014	6836
370	4026	6827
371	4037	6816
372	4048	6806
373	4059	6795
374	4070	6784
375	4081	6773
376	4092	6763
377	4104	6753
378	4116	6744
379	4127	6733
380	4138	6723
381	4150	6714
382	4161	6703
383	4172	6693
384	4183	6683
385	4194	6672
386	4205	6661
387	4218	6653
388	4229	6642
389	4240	6632
390	4253	6625
391	4264	6615
392	4276	6605
393	4287	6594
394	4298	6584
395	4309	6573
396	4320	6563
397	4332	6553
398	4344	6543
399	4355	6532
400	4366	6522
401	4377	6511
402	4388	6500
403	4399	6489
404	4410	6478
405	4421	6468
406	4432	6457
407	4449	6456
408	4461	6446
409	4472	6435
410	4483	6424
411	4494	6414
412	4506	6404
413	4517	6394
414	4528	6383
415	4540	6374
416	4552	6364
417	4562	6353
418	4573	6342
419	4585	6331
420	4596	6321
421	4607	6311
422	4619	6301
423	4630	6290
424	4641	6280
425	4652	6269
426	4663	6258
427	4675	6248
428	4686	6237
429	4698	6227
430	4709	6217
431	4721	6207
432	4733	6197
433	4744	6187
434	4755	6177
435	4766	6166
436	4777	6155
437	4789	6144
438	4800	6134
439	4811	6123
440	4822	6112
441	4834	6102
442	4845	6092
443	4856	6081
444	4866	6070
445	4877	6059
446	4889	6049
447	4900	6038
448	4911	6026
449	4922	6016
450	4932	6004
451	4944	5994
452	4955	5983
453	4966	5972
